               lang-run/comp ,                                  flags , time (ns)
         clang++-runtime.cpp ,                                  -flto ,   6938
         clang++-runtime.cpp ,  -ftree-vectorize -ftree-slp-vectorize ,   7277
         clang++-runtime.cpp ,                          -mtune=native ,   9266
         clang++-runtime.cpp ,                                        ,  10850
             g++-runtime.cpp ,                                  -flto ,  11978
         clang++-runtime.cpp ,                          -march=native ,  12030
 rustc-runtime-get-if-let.rs ,                 -C target-feature=avx2 ,  13086
             g++-runtime.cpp ,                                 -mavx2 ,  13388
 rustc-runtime-get-if-let.rs ,                                        ,  13500
             g++-runtime.cpp ,  -ftree-vectorize -ftree-slp-vectorize ,  13918
        rustc-runtime-get.rs ,                 -C target-feature=avx2 ,  13925
            rustc-runtime.rs ,                  -C target-cpu=generic ,  14368
            rustc-runtime.rs ,                                        ,  14610
 rustc-runtime-get-if-let.rs ,                  -C target-cpu=generic ,  15050
             g++-runtime.cpp ,                          -march=native ,  15153
            rustc-runtime.rs ,                  -C target-cpu=haswell ,  15318
         clang++-runtime.cpp ,                                 -mavx2 ,  15384
 rustc-runtime-get-if-let.rs ,                                 -C lto ,  15653
             g++-runtime.cpp ,                          -mtune=native ,  15941
            rustc-runtime.rs ,                 -C target-feature=avx2 ,  15942
        rustc-runtime-get.rs ,                         -C panic=abort ,  15967
             g++-runtime.cpp ,                                        ,  15998
        rustc-runtime-get.rs ,                  -C target-cpu=generic ,  16733
            rustc-runtime.rs ,                         -C panic=abort ,  17720
            rustc-runtime.rs ,                   -C target-cpu=native ,  18179
 rustc-runtime-get-if-let.rs ,                         -C panic=abort ,  18191
        rustc-runtime-get.rs ,                                 -C lto ,  18525
        rustc-runtime-get.rs ,                  -C target-cpu=haswell ,  19864
        rustc-runtime-get.rs ,                                        ,  20095
 rustc-runtime-get-if-let.rs ,                  -C target-cpu=haswell ,  21716
 rustc-runtime-get-if-let.rs ,                   -C target-cpu=native ,  23159
            rustc-runtime.rs ,                                 -C lto ,  24793
        rustc-runtime-get.rs ,                   -C target-cpu=native ,  26758
